0:	20	0:	0:	0:	0:	0:	0:	0:	0:	0:	0:	0:			0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
6:	19	0	0	0	0	0	0	0	0	0	0	0			6	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
14:	18	0	0	0	0	0	0	0	0	0	0	0			6	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
15:	18	0	1	0	0	0	0	0	0	0	0	0			15	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
15:	17	0	1	0	0	0	0	0	0	0	0	0			15	-1	15	-1	-1	-1	-1	-1	-1	-1	-1	-1	
28:	17	0	0	0	0	0	0	0	0	0	0	0			15	-1	15	-1	-1	-1	-1	-1	-1	-1	-1	-1	
29:	17	0	0	0	1	0	0	0	0	0	0	0			15	-1	-1	-1	29	-1	-1	-1	-1	-1	-1	-1	
30:	17	0	0	0	0	0	0	0	0	0	0	0			15	-1	-1	-1	29	-1	-1	-1	-1	-1	-1	-1	
31:	17	0	0	1	0	0	0	0	0	0	0	0			31	-1	-1	-1	29	-1	-1	-1	-1	-1	-1	-1	
31:	16	0	0	1	0	0	0	0	0	0	0	0			31	-1	-1	-1	29	-1	-1	-1	-1	-1	-1	-1	
31:	17	0	0	1	0	0	0	0	0	0	0	0			31	-1	-1	31	-1	-1	-1	-1	-1	-1	-1	-1	
39:	17	0	0	0	0	0	0	0	0	0	0	0			31	-1	-1	31	-1	-1	-1	-1	-1	-1	-1	-1	
40:	17	0	0	0	0	0	0	1	0	0	0	0			40	-1	-1	31	-1	-1	-1	-1	-1	-1	-1	-1	
40:	16	0	0	0	0	0	0	1	0	0	0	0			40	-1	-1	31	-1	-1	-1	40	-1	-1	-1	-1	
42:	16	0	0	0	0	0	0	0	0	0	0	0			40	-1	-1	31	-1	-1	-1	40	-1	-1	-1	-1	
43:	16	0	0	0	1	0	0	0	0	0	0	0			43	-1	-1	31	-1	-1	-1	40	-1	-1	-1	-1	
43:	15	0	0	0	1	0	0	0	0	0	0	0			43	-1	-1	31	43	-1	-1	40	-1	-1	-1	-1	
46:	15	0	0	0	0	0	0	0	0	0	0	0			43	-1	-1	31	43	-1	-1	40	-1	-1	-1	-1	
46:	16	0	0	0	0	0	0	0	0	0	0	0			43	-1	-1	-1	43	-1	-1	40	-1	-1	-1	-1	
51:	17	0	0	0	0	0	0	0	0	0	0	0			43	-1	-1	-1	-1	-1	-1	40	-1	-1	-1	-1	
52:	17	0	0	1	0	0	0	0	0	0	0	0			52	-1	-1	-1	-1	-1	-1	40	-1	-1	-1	-1	
52:	16	0	0	1	0	0	0	0	0	0	0	0			52	-1	-1	52	-1	-1	-1	40	-1	-1	-1	-1	
58:	16	0	0	0	0	0	0	0	0	0	0	0			52	-1	-1	52	-1	-1	-1	40	-1	-1	-1	-1	
59:	17	0	0	0	0	0	0	0	0	0	0	0			59	-1	-1	52	-1	-1	-1	40	-1	-1	-1	-1	
